"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","subgroup","outcome","db","sig"
1.9661,1.1769,3.2847,0.00982,0.0943,0.0503,477,45,24,"eGFR 30-44","vent_arrhythmia","EICU",TRUE
0.8515,0.5172,1.4017,0.527201,0.065,0.0755,477,31,36,"eGFR 30-44","poaf_icd","EICU",FALSE
0.5637,0.3839,0.8277,0.003447,0.1006,0.1656,477,48,79,"eGFR 30-44","encephalopathy_icd","EICU",TRUE
1.8472,1.1868,2.8751,0.006554,0.2433,0.1483,263,64,39,"eGFR < 30","aki_48h","EICU",TRUE
1.6564,1.0932,2.5097,0.017304,0.27,0.1825,263,71,48,"eGFR < 30","aki_7d","EICU",TRUE
1.3914,0.5495,3.5229,0.485899,0.0418,0.0304,263,11,8,"eGFR < 30","aki_stage2","EICU",FALSE
6.5753,2.7113,15.9461,3.1e-05,0.1331,0.0228,263,35,6,"eGFR < 30","aki_stage3","EICU",TRUE
2.1818,1.3853,3.4364,0.000762,0.2051,0.1058,312,64,33,"eGFR < 30","hosp_mortality","EICU",TRUE
1.7403,0.783,3.8682,0.173924,0.0545,0.0321,312,17,10,"eGFR < 30","poaf","EICU",FALSE
0.5005,0.3145,0.7964,0.003498,0.1026,0.1859,312,32,58,"eGFR < 30","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,312,0,0,"eGFR < 30","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,312,0,0,"eGFR < 30","reintubation","EICU",FALSE
1.795,1.0439,3.0867,0.034402,0.125,0.0737,312,39,23,"eGFR < 30","vent_arrhythmia","EICU",TRUE
1.7403,0.783,3.8682,0.173924,0.0545,0.0321,312,17,10,"eGFR < 30","poaf_icd","EICU",FALSE
0.5005,0.3145,0.7964,0.003498,0.1026,0.1859,312,32,58,"eGFR < 30","encephalopathy_icd","EICU",TRUE
1.7138,1.3663,2.1496,3e-06,0.2036,0.1298,1125,229,146,"eGFR < 60","aki_48h","EICU",TRUE
1.6099,1.3021,1.9904,1.1e-05,0.2311,0.1573,1125,260,177,"eGFR < 60","aki_7d","EICU",TRUE
1.2022,0.7659,1.8871,0.423485,0.0382,0.032,1125,43,36,"eGFR < 60","aki_stage2","EICU",FALSE
3.1833,1.9914,5.0886,1e-06,0.0649,0.0213,1125,73,24,"eGFR < 60","aki_stage3","EICU",TRUE
1.6412,1.2976,2.0758,3.6e-05,0.1416,0.0914,1412,200,129,"eGFR < 60","hosp_mortality","EICU",TRUE
0.8049,0.5877,1.1022,0.175892,0.0531,0.0652,1412,75,92,"eGFR < 60","poaf","EICU",FALSE
0.473,0.3739,0.5983,0,0.0843,0.1629,1412,119,230,"eGFR < 60","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,1412,0,0,"eGFR < 60","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,1412,0,0,"eGFR < 60","reintubation","EICU",FALSE
1.603,1.1977,2.1453,0.001506,0.0878,0.0567,1412,124,80,"eGFR < 60","vent_arrhythmia","EICU",TRUE
0.8049,0.5877,1.1022,0.175892,0.0531,0.0652,1412,75,92,"eGFR < 60","poaf_icd","EICU",FALSE
0.473,0.3739,0.5983,0,0.0843,0.1629,1412,119,230,"eGFR < 60","encephalopathy_icd","EICU",TRUE
0.6169,0.5187,0.7337,0,0.0842,0.1297,2791,235,362,"eGFR >= 60","aki_48h","EICU",TRUE
0.6572,0.5632,0.7669,0,0.1132,0.1627,2791,316,454,"eGFR >= 60","aki_7d","EICU",TRUE
0.6789,0.5115,0.9009,0.007312,0.0301,0.0437,2791,84,122,"eGFR >= 60","aki_stage2","EICU",TRUE
0.4058,0.2605,0.6322,6.7e-05,0.01,0.0244,2791,28,68,"eGFR >= 60","aki_stage3","EICU",TRUE
0.4917,0.4026,0.6006,0,0.0457,0.0888,3391,155,301,"eGFR >= 60","hosp_mortality","EICU",TRUE
0.46,0.3595,0.5887,0,0.0286,0.0602,3391,97,204,"eGFR >= 60","poaf","EICU",TRUE
0.3026,0.2537,0.361,0,0.0531,0.1563,3391,180,530,"eGFR >= 60","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,3391,0,0,"eGFR >= 60","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,3391,0,0,"eGFR >= 60","reintubation","EICU",FALSE
0.7688,0.6228,0.949,0.014409,0.0481,0.0616,3391,163,209,"eGFR >= 60","vent_arrhythmia","EICU",TRUE
0.46,0.3595,0.5887,0,0.0286,0.0602,3391,97,204,"eGFR >= 60","poaf_icd","EICU",TRUE
0.3026,0.2537,0.361,0,0.0531,0.1563,3391,180,530,"eGFR >= 60","encephalopathy_icd","EICU",TRUE
0.922,0.6837,1.2432,0.594209,0.1292,0.1386,743,96,103,"CABG","aki_48h","EICU",FALSE
0.8838,0.6668,1.1713,0.389928,0.1467,0.1629,743,109,121,"CABG","aki_7d","EICU",FALSE
0.5646,0.318,1.0027,0.051064,0.0256,0.0444,743,19,33,"CABG","aki_stage2","EICU",FALSE
0.7011,0.3323,1.4791,0.351125,0.0162,0.0229,743,12,17,"CABG","aki_stage3","EICU",FALSE
0.1368,0.0775,0.2417,0,0.014,0.0943,997,14,94,"CABG","hosp_mortality","EICU",TRUE
0.3327,0.196,0.565,4.6e-05,0.0191,0.0552,997,19,55,"CABG","poaf","EICU",TRUE
0.1524,0.0986,0.2353,0,0.0251,0.1444,997,25,144,"CABG","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,997,0,0,"CABG","transfusion","EICU",FALSE
